,AUROC,PR-AUC,Precision,Recall,F1-Score,False Positives,False Negatives,Train Time (s)
XGBoost,0.8895093814049259,0.1832155649937621,0.06881747585074816,0.7574704656011119,0.12617201064938072,29498,698,23.76
LightGBM,0.8879582350135733,0.18743799206596867,0.05970694060593419,0.7956914523974983,0.11107877376794723,36064,588,30.81
Logistic Regression (Baseline),0.8701102945563672,0.15123538499972614,0.055599239061509195,0.7616400277970813,0.10363331205824645,37233,686,2.5
